fbase,qrunid,SIDTIME,LSTEND,HA,HAEND,AIRMASS,TELALT,TELAZ,CRVAL1,CRVAL2,JDTDB,OBS_X,OBS_Y,OBS_Z,OBS_VX,OBS_VY,OBS_VZ
wircam_J_1319392p_fixed.fits.fz.fcat,11AQ15,19:42:03.61,19:42:29.12,0:03:35.57,0:04:01.08,1.037,74.7019,357.2251,294.599365900,35.1171820657,2455761.928990655,0.4458850374447583,-0.8366164457861677,-0.3626529354891042,0.01537712984539581,0.007022938750327204,0.002997078952829547
wircam_J_1319393p_fixed.fits.fz.fcat,11AQ15,19:42:37.63,19:43:03.20,0:04:13.51,0:04:39.08,1.037,74.6907,356.7321,294.583006598,35.1205224683,2455761.929383355,0.4458910759811914,-0.8366136877490156,-0.3626517585282608,0.0153768115002572,0.007023596176859513,0.002997119381036209
wircam_J_1319394p_fixed.fits.fz.fcat,11AQ15,19:43:16.85,19:43:42.22,0:04:46.37,0:05:11.74,1.037,74.6696,356.3097,294.609530246,35.1338737353,2455761.929836055,0.4458980369803644,-0.8366105079956239,-0.3626504017217661,0.01537644277738707,0.007024353274894239,0.002997166000156261
wircam_J_1319395p_fixed.fits.fz.fcat,11AQ15,19:43:55.47,19:44:20.59,0:05:33.79,0:05:58.91,1.037,74.6866,355.6895,294.572851903,35.1038690250,2455761.930281855,0.4459048917173827,-0.8366073763728697,-0.3626490655749145,0.01537607794091239,0.007025098008727561,0.002997211923073953
wircam_H2_1319397p_fixed.fits.fz.fcat,11AQ15,19:45:13.21,19:45:28.62,0:06:47.12,0:07:02.53,1.037,74.6478,354.7576,294.591256453,35.1188126941,2455761.931121285,0.4459177985628566,-0.8366014787096946,-0.3626465495901373,0.01537538605236327,0.007026497868981595,0.002997298379950564
wircam_H2_1319398p_fixed.fits.fz.fcat,11AQ15,19:45:37.21,19:45:52.72,0:07:18.46,0:07:33.97,1.037,74.6448,354.3499,294.560678371,35.1104582665,2455761.931398285,0.4459220575129776,-0.8365995323058995,-0.3626457193345395,0.01537515634524158,0.00702695909863872,0.002997326888996571
wircam_H2_1319399p_fixed.fits.fz.fcat,11AQ15,19:46:02.29,19:46:17.60,0:07:33.76,0:07:49.07,1.037,74.6554,354.1572,294.601427852,35.0937990129,2455761.931687785,0.4459265085858871,-0.8365974979314996,-0.362644851604086,0.01537491554294557,0.007027440870671806,0.002997356724352135
wircam_H2_1319400p_fixed.fits.fz.fcat,11AQ15,19:46:29.60,19:46:45.01,0:07:56.18,0:08:11.59,1.037,74.6125,353.8744,294.621819011,35.1271691224,2455761.932002984,0.4459313547177995,-0.8365952827995572,-0.3626439068321345,0.01537465238285986,0.007027964864293582,0.002997389163857033
wircam_H2_1319401p_fixed.fits.fz.fcat,11AQ15,19:46:54.37,19:47:09.86,0:08:30.72,0:08:46.21,1.038,74.5814,353.4494,294.581112388,35.1437860653,2455761.932288885,0.4459357502967485,-0.8365932734364888,-0.3626430498743524,0.01537441308753352,0.007028439815306078,0.002997418629079698
wircam_H2_1319402p_fixed.fits.fz.fcat,11AQ15,19:47:24.35,19:47:39.37,0:09:03.16,0:09:18.18,1.038,74.5743,353.0293,294.570907609,35.1354853870,2455761.932634884,0.4459410697934142,-0.8365908414969407,-0.3626420127613373,0.01537412233051501,0.007029014076500781,0.002997454263184033
wircam_H2_1319403p_fixed.fits.fz.fcat,11AQ15,19:47:52.44,19:48:07.48,0:09:21.46,0:09:36.50,1.037,74.5995,352.7885,294.611582525,35.1021020117,2455761.932959185,0.4459460555769144,-0.8365885619004823,-0.3626410406815128,0.01537384887280325,0.00702955187960481,0.00299748768089731
wircam_H2_1319404p_fixed.fits.fz.fcat,11AQ15,19:48:21.30,19:48:36.54,0:09:51.79,0:10:07.03,1.038,74.5474,352.4198,294.605511535,35.1388086282,2455761.933292285,0.4459511765591462,-0.836586220264787,-0.3626400422126386,0.01537356709150757,0.007030103765384426,0.002997522001911118
wircam_H2_1319405p_fixed.fits.fz.fcat,11AQ15,19:48:50.86,19:49:06.17,0:10:28.20,0:10:43.51,1.038,74.5679,351.9385,294.577000775,35.0987878212,2455761.933633485,0.4459564219708496,-0.8365838214970102,-0.3626390194521364,0.01537327736997992,0.00703066855293942,0.002997557138098576
wircam_H2_1319406p_fixed.fits.fz.fcat,11AQ15,19:49:20.71,19:49:35.92,0:11:00.50,0:11:15.71,1.038,74.5241,351.5393,294.566810897,35.1238149573,2455761.933977985,0.4459617180143143,-0.8365813993335721,-0.362637986787598,0.01537298376646316,0.007031238213910934,0.002997592631199901
wircam_H2_1319407p_fixed.fits.fz.fcat,11AQ15,19:49:47.45,19:50:03.11,0:11:15.52,0:11:31.18,1.038,74.5263,351.3533,294.615648315,35.1137674540,2455761.934286585,0.4459664620764143,-0.8365792294147657,-0.3626370617256071,0.01537271987933067,0.00703174810723175,0.00299762441856588
wircam_H2_1319408p_fixed.fits.fz.fcat,11AQ15,19:50:12.51,19:50:27.87,0:11:47.90,0:12:03.26,1.038,74.4899,350.9530,294.585112599,35.1304787704,2455761.934575985,0.4459709109056407,-0.8365771943577266,-0.3626361942087871,0.01537247165234494,0.007032225843053685,0.002997654253921445
wircam_H2_1319409p_fixed.fits.fz.fcat,11AQ15,19:50:40.15,19:50:55.61,0:12:12.59,0:12:28.05,1.038,74.4975,350.6287,294.597357342,35.1071034032,2455761.934894985,0.4459758146803299,-0.8365749509937465,-0.3626352379518458,0.01537219724286286,0.007032752066285551,0.002997687112029028
wircam_H2_1319410p_fixed.fits.fz.fcat,11AQ15,19:51:06.01,19:51:21.22,0:12:36.99,0:12:52.20,1.038,74.4604,350.3365,294.603485719,35.1286932522,2455761.935193385,0.445980401705589,-0.8365728523471435,-0.3626343434374201,0.01537193961273893,0.007033243787843503,0.002997717837466091
wircam_H2_1319411p_fixed.fits.fz.fcat,11AQ15,19:51:34.58,19:51:49.75,0:13:11.43,0:13:26.60,1.038,74.4572,349.8958,294.579016447,35.1087765296,2455761.935523285,0.4459854728613894,-0.8365705319903896,-0.3626333544846889,0.01537165391860974,0.007033787001938027,0.002997751845629471
wircam_H2_1319412p_fixed.fits.fz.fcat,11AQ15,19:51:59.17,19:52:14.16,0:13:34.06,0:13:49.05,1.038,74.4538,349.5952,294.587143408,35.0954361521,2455761.935806985,0.4459898337646432,-0.8365685364388155,-0.3626325040183472,0.01537140750263141,0.007034253757150589,0.002997781077315902
wircam_H2_1319413p_fixed.fits.fz.fcat,11AQ15,19:52:24.73,19:52:39.89,0:13:57.66,0:14:12.82,1.038,74.3911,349.3406,294.595327745,35.1421384116,2455761.936102085,0.4459943698290357,-0.8365664605589771,-0.3626316193686699,0.01537115032195457,0.007034738781065585,0.002997811481089848
wircam_H2_1319414p_fixed.fits.fz.fcat,11AQ15,19:52:48.28,19:53:03.39,0:14:20.24,0:14:35.35,1.039,74.3998,349.0444,294.599423042,35.1171158045,2455761.936373885,0.4459985476754743,-0.8365645484562845,-0.3626308045596941,0.01537091283322929,0.007035185170155947,0.002997839478999944
wircam_H2_1319415p_fixed.fits.fz.fcat,11AQ15,19:53:16.51,19:53:31.81,0:14:52.38,0:15:07.68,1.039,74.3719,348.6511,294.583099185,35.1204591829,2455761.936699685,0.4460035554723639,-0.8365622563058542,-0.3626298278581217,0.01537062723163332,0.007035719818317637,0.002997873059747952
wircam_H2_1319416p_fixed.fits.fz.fcat,11AQ15,19:53:41.27,19:53:56.46,0:15:10.78,0:15:25.97,1.039,74.3440,348.4305,294.609628779,35.1337800132,2455761.936985584,0.4460079498987965,-0.836560244726537,-0.3626289707619987,0.01537037583648622,0.007036188538759647,0.002997902524970616
wircam_H2_1319417p_fixed.fits.fz.fcat,11AQ15,19:54:09.18,19:54:24.69,0:15:47.49,0:16:03.00,1.039,74.3445,347.9589,294.572898377,35.1037818509,2455761.937307685,0.4460129006510379,-0.836557978285266,-0.3626280051322716,0.01537009174626626,0.007036716180834296,0.002997935717960348
wircam_J_1325826p_fixed.fits.fz.fcat,11BQ02,19:50:49.77,19:51:14.85,0:12:23.68,0:12:48.76,1.038,74.4778,350.4914,294.591180547,35.1185278173,2455779.88591605,0.6935694969570854,-0.6764397657409785,-0.2932100776400899,0.01243662958394875,0.01090897794979601,0.004677583308860183
wircam_J_1325827p_fixed.fits.fz.fcat,11BQ02,19:51:25.11,19:51:50.43,0:13:06.36,0:13:31.68,1.038,74.4578,349.9544,294.560628555,35.1101853537,2455779.88632395,0.6935745697802217,-0.6764353158355915,-0.2932081696469346,0.01243624661096196,0.01090963137536792,0.004677617308210875
wircam_J_1325828p_fixed.fits.fz.fcat,11BQ02,19:52:03.87,19:52:29.50,0:13:35.33,0:14:00.96,1.038,74.4531,349.5760,294.601394699,35.0935600508,2455779.88677135,0.693580133662698,-0.6764304347062979,-0.2932060768726005,0.01243582487096021,0.01091034730933653,0.004677654625538636
wircam_J_1325829p_fixed.fits.fz.fcat,11BQ02,19:52:43.44,19:53:08.64,0:14:10.02,0:14:35.22,1.038,74.3962,349.1783,294.621746809,35.1268766037,2455779.88722805,0.6935858130052573,-0.6764254517839927,-0.2932039405790436,0.01243539253810737,0.01091107714091427,0.004677692722789296
wircam_J_1325830p_fixed.fits.fz.fcat,11BQ02,19:53:20.07,19:53:45.35,0:14:56.42,0:15:21.70,1.039,74.3442,348.6116,294.581006814,35.1435407819,2455779.88765085,0.6935910706042658,-0.6764208384379511,-0.2932019628431335,0.01243499060902848,0.0109117518843787,0.004677727973541699
wircam_J_1325831p_fixed.fits.fz.fcat,11BQ02,19:53:57.19,19:54:22.32,0:15:35.99,0:16:01.12,1.039,74.3212,348.1197,294.570819897,35.1352278197,2455779.88807925,0.6935963976667681,-0.6764161636971218,-0.293199958896809,0.01243458175317673,0.01091243470907811,0.004677763695772914
wircam_J_1325832p_fixed.fits.fz.fcat,11BQ02,19:54:33.70,19:54:58.87,0:16:02.72,0:16:27.89,1.039,74.3323,347.7668,294.611569582,35.1018544429,2455779.88850075,0.6936016387579527,-0.6764115639644398,-0.2931979872119985,0.01243417789411915,0.01091310568071203,0.004677798867211124
wircam_J_1325833p_fixed.fits.fz.fcat,11BQ02,19:55:11.75,19:55:36.95,0:16:42.24,0:17:07.44,1.039,74.2630,347.3173,294.605477516,35.1385214494,2455779.88893995,0.6936070997561726,-0.6764067707750751,-0.29319593271471,0.01243375546672773,0.01091380393642831,0.00467783549274287
wircam_J_1325834p_fixed.fits.fz.fcat,11BQ02,19:55:49.52,19:56:15.24,0:17:26.86,0:17:52.58,1.039,74.2632,346.7443,294.576913830,35.0987825636,2455779.88937595,0.6936125207818679,-0.6764020122055878,-0.293193893170499,0.01243333444055372,0.01091449616426593,0.004677871867113007
wircam_J_1325835p_fixed.fits.fz.fcat,11BQ02,19:56:28.71,19:56:54.24,0:18:08.49,0:18:34.02,1.039,74.2008,346.2666,294.566757581,35.1235326099,2455779.88982825,0.6936181442799521,-0.6763970754167126,-0.2931917773605131,0.01243289590356846,0.01091521337607431,0.004677909594230764
wircam_J_1325836p_fixed.fits.fz.fcat,11BQ02,19:57:07.08,19:57:32.31,0:18:35.12,0:19:00.35,1.039,74.1848,345.9264,294.615624825,35.1138168835,2455779.89027115,0.6936236507140637,-0.6763922409134286,-0.2931897055061904,0.01243246463705087,0.01091591460166648,0.00467794654583197
wircam_J_1325837p_fixed.fits.fz.fcat,11BQ02,19:57:44.95,19:58:10.11,0:19:20.33,0:19:45.49,1.040,74.1256,345.4122,294.585097449,35.1302140388,2455779.89070825,0.6936290848510998,-0.676387469416027,-0.2931876607677739,0.01243203739793176,0.01091660576316883,0.004677983025954364
wircam_J_1325838p_fixed.fits.fz.fcat,11BQ02,19:58:21.49,19:58:47.40,0:19:53.94,0:20:19.85,1.040,74.1137,344.9797,294.597287882,35.1068450471,2455779.89113005,0.6936343285972064,-0.6763828646512514,-0.2931856875871399,0.01243162357172393,0.01091727185257355,0.00467801821501795
wircam_J_1325839p_fixed.fits.fz.fcat,11BQ02,19:58:59.78,19:59:25.65,0:20:30.76,0:20:56.63,1.040,74.0550,344.5688,294.603447178,35.1285318549,2455779.89157195,0.6936398220355922,-0.6763780401547764,-0.2931836203627364,0.01243118826018251,0.01091796868944704,0.004678055082898618
wircam_J_1325840p_fixed.fits.fz.fcat,11BQ02,19:59:37.95,20:00:03.13,0:21:14.80,0:21:39.98,1.040,74.0278,344.0275,294.578939255,35.1085394624,2455779.89201255,0.6936452991212486,-0.6763732295448613,-0.2931815592035711,0.01243075261375894,0.01091866260050809,0.004678091853839719
wircam_J_1325841p_fixed.fits.fz.fcat,11BQ02,20:00:16.59,20:00:41.94,0:21:51.48,0:22:16.83,1.040,73.9999,343.5750,294.587076754,35.0954322312,2455779.89245845,0.6936508418951876,-0.6763683607568779,-0.2931794732341401,0.01243030997006102,0.01091936378203681,0.004678129052196191
wircam_J_1325842p_fixed.fits.fz.fcat,11BQ02,20:00:55.59,20:01:25.94,0:22:28.52,0:22:58.87,1.041,73.9150,343.2084,294.595259585,35.1418340189,2455779.89290865,0.6936564379198247,-0.6763634447001154,-0.2931773671319851,0.01242986131610982,0.01092007073587625,0.004678166620685564
wircam_J_1325843p_fixed.fits.fz.fcat,11BQ02,20:01:38.42,20:02:04.09,0:23:10.37,0:23:36.04,1.041,73.8900,342.6899,294.599352490,35.1168712933,2455779.89340305,0.6936625831209891,-0.6763580456255077,-0.2931750542362359,0.0124293666070506,0.01092084601448652,0.004678207877284907
wircam_J_1325844p_fixed.fits.fz.fcat,11BQ02,20:02:17.83,20:02:43.03,0:23:53.70,0:24:18.90,1.041,73.8360,342.1989,294.583020049,35.1201713096,2455779.89385795,0.6936682371359484,-0.6763530775706611,-0.2931729261108409,0.01242890944885538,0.01092155809731044,0.004678245837938902
wircam_J_1325845p_fixed.fits.fz.fcat,11BQ02,20:02:52.49,20:03:17.97,0:24:22.00,0:24:47.48,1.041,73.7891,341.8886,294.609559997,35.1335342972,2455779.89425795,0.6936732086191577,-0.6763487088222724,-0.2931710548058116,0.01242850603043219,0.01092218343684537,0.004678279229214114
wircam_J_1325846p_fixed.fits.fz.fcat,11BQ02,20:03:29.48,20:03:54.87,0:25:07.79,0:25:33.18,1.042,73.7603,341.3273,294.572847144,35.1038113458,2455779.89468505,0.6936785167418421,-0.6763440438152887,-0.2931690567051484,0.01242807382976967,0.0109228503282047,0.004678314867724793
wircam_J_1325848p_fixed.fits.fz.fcat,11BQ02,20:05:11.42,20:05:36.81,0:26:50.23,0:27:15.62,1.042,73.5992,340.2260,294.570824989,35.1352059174,2455779.895861649,0.6936931389092346,-0.6763311909111747,-0.2931635521421309,0.01242687481949014,0.010924682424372,0.004678413071914643
