offax_deg,focusx,focusy,planex,planey
0.2110,0.013947254,3.769948486,0.013947445,3.770
0.2120,0.014013353,3.769947998,0.014013547,3.770
0.2130,0.014079453,3.769947508,0.014079649,3.770
0.2140,0.014145552,3.769947015,0.014145751,3.770
0.2150,0.014211652,3.769946520,0.014211854,3.770
0.2160,0.014277751,3.769946023,0.014277956,3.770
0.2170,0.014343851,3.769945524,0.014344058,3.770
0.2180,0.014409950,3.769945022,0.014410161,3.770
0.2190,0.014476049,3.769944518,0.014476263,3.770
0.2200,0.014542149,3.769944011,0.014542365,3.770
0.2210,0.014608248,3.769943502,0.014608468,3.770
0.2220,0.014674348,3.769942991,0.014674570,3.770
0.2230,0.014740447,3.769942478,0.014740672,3.770
0.2240,0.014806546,3.769941962,0.014806775,3.770
0.2250,0.014872646,3.769941444,0.014872877,3.770
0.2260,0.014938745,3.769940924,0.014938979,3.770
0.2270,0.015004844,3.769940401,0.015005082,3.770
0.2280,0.015070943,3.769939876,0.015071184,3.770
0.2290,0.015137043,3.769939349,0.015137286,3.770
0.2300,0.015203142,3.769938820,0.015203389,3.770
0.2310,0.015269241,3.769938288,0.015269491,3.770
0.2320,0.015335340,3.769937754,0.015335594,3.770
0.2330,0.015401439,3.769937217,0.015401696,3.770
0.2340,0.015467538,3.769936678,0.015467799,3.770
0.2350,0.015533637,3.769936137,0.015533901,3.770
0.2360,0.015599737,3.769935594,0.015600004,3.770
0.2370,0.015665836,3.769935048,0.015666106,3.770
0.2380,0.015731935,3.769934500,0.015732208,3.770
0.2390,0.015798034,3.769933950,0.015798311,3.770
0.2400,0.015864133,3.769933397,0.015864413,3.770
0.2410,0.015930232,3.769932842,0.015930516,3.770
0.2420,0.015996331,3.769932285,0.015996619,3.770
0.2430,0.016062430,3.769931726,0.016062721,3.770
0.2440,0.016128529,3.769931164,0.016128824,3.770
0.2450,0.016194628,3.769930600,0.016194926,3.770
0.2460,0.016260726,3.769930033,0.016261029,3.770
0.2470,0.016326825,3.769929464,0.016327131,3.770
0.2480,0.016392924,3.769928893,0.016393234,3.770
0.2490,0.016459023,3.769928320,0.016459336,3.770
0.2500,0.016525122,3.769927744,0.016525439,3.770
