gid,xmeas,ymeas,xcalc,ycalc,rdist,xnudge,ynudge,xerror,yerror,rerror,scaled_xerror,scaled_yerror,scaled_rerror,qq,rr_hi_mask,inner_mask,masked
2047410841291554432,153.0590422791419,43.54074350944239,153.06156131973944,43.40443075260215,1912.1344524278802,-9.890606771196145,0.6240161273872568,0.002519040597547928,-0.13631275684024047,0.13633603061156876,0.002535724395603696,-0.13721556662812612,0.1372389945434175,NE,False,False,False
2048156104009592448,1346.481910608448,31.482289472991067,1346.4407774748458,31.44410356409442,731.2672389209629,-1.7240454843280748,0.25940734338680277,-0.04113313360221582,-0.03818590889664719,0.05612573668292271,-0.04140556148411988,-0.03843881708448179,0.05649746171881955,NE,False,False,False
2048156104009591808,1265.0400129439784,28.658390146185393,1265.0729921274358,28.62222838689388,811.1730550073968,-1.999024659796508,0.2634285932258528,0.03297918345742801,-0.03616175929151311,0.04894179580456798,0.03319760710545633,-0.036401261382090044,0.049265941051962914,NE,False,False,False
2048155524188621952,665.1264078808144,22.327323895845474,664.9856398582751,22.26380246345036,1404.6560957597537,-5.180167975769092,0.3679253374919071,-0.1407680225393051,-0.06352143239511321,0.15443642233344193,-0.14170033989180894,-0.06394213968793128,0.15545926654054784,NE,False,False,False
2048155558548249088,413.77290504542145,20.777590484537853,413.81757854992793,20.696598287149996,1653.130727590992,-7.244586173012064,0.42972868440216355,0.044673504506477,-0.08099219738785735,0.09249571905014776,0.04496938053497572,-0.08152861489007118,0.09310832525393736,NE,False,False,False
2048155696005144064,912.4927443872997,17.847751556045115,912.4685932616408,17.904231622344412,1159.15219322708,-3.5897652039515013,0.29591234672388456,-0.02415112565893196,0.05648006629929725,0.06142698722684138,-0.024311080406666206,0.05685413808727523,0.06183382284952427,NE,False,False,False
2048156108322072192,1365.5341716367386,11.316400292816073,1365.5561096938434,11.300606240761326,709.6415772968707,-1.6612543410491345,0.20931342827115254,0.021938057104762265,-0.01579405205474771,0.027032026003240867,0.022083354530626716,-0.015898657266438302,0.027211061173740045,NE,False,False,False
2048156108322054272,1231.4287292506863,14.496475333416065,1231.9353719678288,13.970397202982511,842.2089352291573,-2.117761958612634,0.23109008387506666,0.5066427171425403,-0.5260781304335538,0.7303732211370015,0.5099982505100691,-0.5295623860260413,0.7352105387009392,NE,True,True,True
2048155524206400896,577.4725563088609,10.851236270164836,577.5033961443198,10.768925761575744,1490.5478845197392,-5.843501319024632,0.3457663276624922,0.030839835458891685,-0.08231050858909228,0.08789832350691648,0.03104409004191433,-0.08285565736696618,0.08848048080928686,NE,False,False,False
2048156069649847936,1586.1296898820272,12.705319817436168,1586.1052975227258,12.680271116833538,492.4466486181187,-1.0537954534018728,0.1961268951751812,-0.02439235930137329,-0.025048700602630092,0.03496318913039102,-0.024553911757925196,-0.025214600057692656,0.035194752999351646,NE,False,False,False
2048156073962357376,1520.8390804529222,6.592554193611049,1520.8202601932394,6.439180358661986,555.6206609582767,-1.218326018119506,0.18604345767980968,-0.01882025968279777,-0.15337383494906298,0.15452422276623934,-0.01894490769847904,-0.1543896415588571,0.15554764848230995,NE,False,False,False
2048156177024097792,1404.5670971839845,10.316021130151881,1404.4727476011353,10.330586835193259,671.0389038886476,-1.5424032511725791,0.2034366967979841,-0.09434958284919048,0.014565705041377441,0.0954672904568296,-0.09497446733435286,0.014662174817087597,0.09609957760474755,NE,False,False,False
2048156245761092096,1809.0901974460496,7.1371981821542105,1809.150794100129,6.9931662543041995,274.8892430066467,-0.5420391884947631,0.17495802981499486,0.0605966540792906,-0.14403192785001107,0.156259882010054,0.060997990342190944,-0.14498586229639182,0.15729480312971028,NE,False,False,False
2048156177041555328,1412.510209874537,5.833883175911206,1412.549354829857,5.344859589284354,662.4167896513775,-1.518051486918113,0.19119023628664716,0.03914495532012552,-0.4890235866268515,0.49058780641634825,0.03940421534558869,-0.4922624271488073,0.4938370068853046,NE,False,True,True
2048154832699264128,1924.9233146376032,5.944618952239601,1925.0740893814552,5.5387974607666735,167.88397006592092,-0.28485424166154394,0.16200579432363157,0.1507747438520255,-0.4058214914729277,0.43292505855512153,0.15177333648319866,-0.4085092781711713,0.43579235424588814,NE,False,True,True
2048156108322717056,1279.408214606442,5.857421991452054,1279.3305815844053,5.051294841718885,794.308644862973,-1.945722460802751,0.20311053190024886,-0.07763302203670719,-0.806127149733169,0.809856695747757,-0.07814719146429808,-0.8114661913454844,0.8152204384278549,NE,True,True,True
2048156073962352512,1482.3080029461028,12.813241276341213,1482.2800113330977,12.755905489213987,594.5686325594183,-1.321309847077858,0.20273741522121763,-0.02799161300504238,-0.05733578712722576,0.06380378424609785,-0.028177003593461612,-0.057715526419530254,0.06422636157676569,NE,False,False,False
2048155382455081984,1070.7781783309515,20.539605139371076,1070.8883222437166,20.515463421841986,1002.4061217780359,-2.78626434337623,0.273321456595917,0.1101439127651247,-0.024141717529090556,0.11275860962456835,0.1108734043022735,-0.024301609966063113,0.1135054184984931,NE,False,False,False
2048156245761073152,1666.6571570806343,21.669973951520845,1666.6577874446652,21.59795552947324,415.7329401603274,-0.8627751097841045,0.21155623287102,0.0006303640309397451,-0.07201842204760567,0.07202118072510723,0.0006345389800072814,-0.07249540555112956,0.07249818249956266,NE,False,False,False
2048156069661202304,1525.4780899060436,21.338412724519326,1525.4606706143945,21.29369488212909,553.4947317322817,-1.2072176566068924,0.21876818292592898,-0.01741929164904832,-0.044717842390237905,0.047990802760453616,-0.01753466094656188,-0.04501401207192332,0.0483086495083659,NE,False,False,False
