FILENAME,GMATCHES,GRADELTA,GRASIGMA,GDEDELTA,GDESIGMA
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0001_0000_2_clean.fits.pcat[CATALOG],40,-2.5746846176843E-05,3.05506102726817E-05,-1.6601038094421E-05,2.88030851875892E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0002_0000_2_clean.fits.pcat[CATALOG],46,1.75235265942319E-05,2.86920397095768E-05,-1.9406051251280E-05,2.67622862437892E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0003_0000_2_clean.fits.pcat[CATALOG],50,-6.3505282184905E-05,4.55837057499254E-05,-3.8372774911366E-05,3.41238031416902E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0004_0000_2_clean.fits.pcat[CATALOG],49,1.35031608010649E-05,3.41070853215156E-05,-1.7545259403561E-05,4.23013341559940E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0005_0000_2_clean.fits.pcat[CATALOG],47,-2.1344144158774E-05,3.50432935066531E-05,-1.8220381278410E-05,3.53166671035102E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0006_0000_2_clean.fits.pcat[CATALOG],48,-2.1668230601790E-05,3.92627818119002E-05,-3.4884882600394E-05,2.77082228088146E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0007_0000_2_clean.fits.pcat[CATALOG],53,-1.9781734295065E-06,3.69597264823962E-05,-1.8359877564932E-05,3.44221157908321E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0008_0000_2_clean.fits.pcat[CATALOG],52,2.41042545212621E-06,3.66709066552966E-05,-1.1019190409911E-05,3.00678485628975E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0009_0000_2_clean.fits.pcat[CATALOG],54,-1.8189529981782E-05,5.04626225295064E-05,-3.9398707249560E-05,3.20600607719425E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0010_0000_2_clean.fits.pcat[CATALOG],46,-3.7737123363967E-06,4.57219986192471E-05,-5.6557452747796E-06,3.51119195372262E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0011_0000_2_clean.fits.pcat[CATALOG],47,1.84325256213924E-06,3.07173669052291E-05,-2.4332236275625E-05,2.92665050369745E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0012_0000_2_clean.fits.pcat[CATALOG],49,6.34684982969702E-06,3.62083413933599E-05,-2.6765238022363E-05,3.95166639825020E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0001_0000_2_clean.fits.pcat[CATALOG],83,3.72552500493839E-05,4.64775330354161E-05,-1.0919291710820E-05,2.82370172209563E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0002_0000_2_clean.fits.pcat[CATALOG],86,1.92909243423855E-06,3.89227496052820E-05,-2.4031789882528E-05,3.99351293003642E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0003_0000_2_clean.fits.pcat[CATALOG],84,7.37096705734074E-05,4.03457533913572E-05,-1.1870501051447E-05,3.27623634618035E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0004_0000_2_clean.fits.pcat[CATALOG],80,4.45203720857989E-05,4.09495555318380E-05,-1.4619921525849E-05,3.58660412107396E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0005_0000_2_clean.fits.pcat[CATALOG],81,3.56100788962976E-05,3.56040878064579E-05,-2.1820923656434E-05,3.14477591273098E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0001_0000_2_clean.fits.pcat[CATALOG],70,1.14567382922814E-05,3.32096147136046E-05,-1.1716224536328E-05,2.84556552930472E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0002_0000_2_clean.fits.pcat[CATALOG],65,1.17742305860701E-05,3.52301011803527E-05,-4.3458298883081E-05,3.29223408987694E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0003_0000_2_clean.fits.pcat[CATALOG],82,7.49297495872269E-05,4.07119707545492E-05,-1.5077788548367E-05,3.95078174435304E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0004_0000_2_clean.fits.pcat[CATALOG],71,5.79012748858076E-05,3.60844560635441E-05,-9.4565983630445E-06,4.03294191193151E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0005_0000_2_clean.fits.pcat[CATALOG],76,4.72315549586710E-05,4.35825451804828E-05,-1.3018656652263E-05,3.41955250300414E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0001_0000_2_clean.fits.pcat[CATALOG],73,2.92830122248233E-05,3.33433091058983E-05,-2.8934531925983E-07,4.07476749582002E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0002_0000_2_clean.fits.pcat[CATALOG],79,2.53709233106747E-05,3.12686844119258E-05,-1.5662458825005E-05,3.06406451626966E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0003_0000_2_clean.fits.pcat[CATALOG],76,7.97095265454572E-05,3.77940434188468E-05,-6.9080249058828E-06,3.41265471167931E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0004_0000_2_clean.fits.pcat[CATALOG],72,4.87650426350683E-05,3.65218346309364E-05,-2.7784348400672E-05,3.48235422739702E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0005_0000_2_clean.fits.pcat[CATALOG],77,3.43317321380709E-05,4.38736755549062E-05,4.07540898450520E-06,3.94000521978481E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0001_0000_2_clean.fits.pcat[CATALOG],80,5.15841197454847E-05,3.61296447926427E-05,-4.6239837061534E-05,3.00416787906769E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0002_0000_2_clean.fits.pcat[CATALOG],90,4.14185286103929E-05,3.82355921717261E-05,-6.4466570503185E-05,3.06857753593553E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0003_0000_2_clean.fits.pcat[CATALOG],84,1.90167321534318E-05,2.77804175510533E-05,-4.5394337142568E-06,2.73345384872887E-05
