solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist
1635721458409799680,b'Gaia DR2 2519836872814421248',2519836872814421248,285836763,2015.5,33.4794138924978,0.761132972410574,5.195793967073848,0.5350773208236436,1.4499450738375013,0.793614732393227,1.8270138502120972,-5.078088120665962,1.3652441427174904,-6.018269565449967,1.1293426504821467,-0.2172875702381134,0.46398282051086426,-0.21182353794574738,0.10987594723701477,-0.305541455745697,0.12331334501504898,-0.04512477293610573,0.03135158494114876,0.01647038199007511,0.07851937413215637,114,0,113,1,0.7344825267791748,118.44786834716797,1.0287420488059582,0.5278190426465327,31,False,0.0563005693256855,1.1855810958182127,0.18261282614048063,0.031219089403748512,14,10,1.2207837104797363,0,14,True,113,167.1780826081353,1.366674532477728,122.32472229003906,20.130416870117188,10,54.94140440322896,9.028494966760793,6.085333824157715,21.001638412475586,12,235.87296984846478,11.347658594015021,20.786046981811523,18.830224990844727,1.7395484447479248,0,2.1714134216308594,0.8712215423583984,1.300191879272461,,,0,,,,b'NOT_AVAILABLE',157.6790420262114,-52.02288033535375,33.030345436796765,-7.784087406005355,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2519836872814421248',,0.44670153269920987
1635721458409799680,b'Gaia DR2 2519850337537203968',2519850337537203968,1537492830,2015.5,33.62017453414679,0.39411371725122757,5.435461422967735,0.37089496316480397,1.986513697851533,0.43077052303589053,4.611536026000977,9.022148812811526,1.1600888192534542,-10.997837658331058,0.7058256488447011,0.15651586651802063,-0.2019796371459961,0.029011650010943413,0.2679843604564667,-0.4242918789386749,0.31693750619888306,0.4624551832675934,-0.2533249855041504,-0.16193756461143494,-0.04774459823966026,96,0,96,0,1.779477834701538,116.39207458496094,0.9716326132495403,1.6425640484205557,31,False,0.20285730063915253,1.2836225272604491,0.09497884681433955,-0.01021860633045435,11,8,1.0289794206619263,0,12,False,96,419.44381925969816,2.30615680731946,181.8800048828125,19.131681442260742,10,105.12738697132222,6.268868135325807,16.769756317138672,20.29709815979004,8,540.0730838537535,3.3495680158891337,161.23663330078125,17.930788040161133,1.5382286310195923,0,2.3663101196289062,1.1654167175292969,1.2008934020996094,,,0,,,,b'NOT_AVAILABLE',157.6766307619167,-51.745244329610834,33.24452863926618,-7.605112641906679,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2519850337537203968',,0.4467708810557772
1635721458409799680,b'Gaia DR2 2519845046137098496',2519845046137098496,233452212,2015.5,33.59587640707293,1.0765707209729534,5.358003218400085,0.6858820280138241,0.03451163611138911,0.8155993756429912,0.042314447462558746,-3.9278823091748247,2.5816912480034637,-6.041468104225335,1.85618379189131,-0.383248895406723,-0.08938432484865189,-0.5785859227180481,0.315931111574173,0.03464912995696068,0.3276277184486389,-0.3559885323047638,0.21362243592739105,-0.20038095116615295,-0.28465715050697327,107,0,107,0,-0.6178231239318848,92.80038452148438,0.0,0.0,31,False,0.038758374750614166,1.2800449164092926,0.22423087900610514,0.016089174896478653,13,8,2.4645309448242188,0,13,False,108,129.76718307781792,1.7360129247370781,74.7501220703125,20.405452728271484,9,33.569393606163274,2.958166589967393,11.348040580749512,21.536529541015625,10,155.679136186645,9.478080102789093,16.4251766204834,19.281343460083008,1.4583697319030762,0,2.255186080932617,1.1310768127441406,1.1241092681884766,,,0,,,,b'NOT_AVAILABLE',157.70680421743944,-51.82421607589877,33.19540323626853,-7.670030079951694,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2519845046137098496',,0.44687461834261066
1635721458409799680,b'Gaia DR2 2518566485915059456',2518566485915059456,526299847,2015.5,32.73882598360366,16.464339966889522,5.60794893719391,29.05263976476205,,,,,,,,0.9910510778427124,,,,,,,,,,55,0,54,1,-0.803227961063385,40.87717056274414,0.0,0.0,3,False,0.015171987004578114,,,0.5756828784942627,7,5,73.18254852294922,0,7,False,59,78.72604713090074,1.8046810903203077,43.62324523925781,20.948070526123047,4,42.50152970071337,7.5427866819503535,5.634725093841553,21.280376434326172,6,35.74548545009489,8.330590902633665,4.290870189666748,20.87886619567871,0.9939152002334595,0,0.40151023864746094,0.332305908203125,0.06920433044433594,,,0,,,,b'NOT_AVAILABLE',156.3062947470817,-52.035253460191925,32.46966672477424,-7.14813975572684,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2518566485915059456',,0.44743186445906674
1635721458409799680,b'Gaia DR2 2520068594889956608',2520068594889956608,821347486,2015.5,32.75245450485221,0.10575246033377822,5.663759139989877,0.08671592113194782,0.89445349446166,0.12036540545528028,7.431150913238525,2.0854769099115775,0.2240431682767065,-7.496149634896768,0.1738306987550235,-0.018697988241910934,0.2046159952878952,-0.14267456531524658,0.10272257775068283,-0.2904060184955597,0.027600280940532684,-0.0947708711028099,0.13420945405960083,0.22807583212852478,0.12161252647638321,150,0,150,0,2.2559523582458496,186.12173461914062,0.2954316134504624,1.3327910418770337,31,False,1.6527990102767944,1.3629597602846484,0.027872699765763828,-0.032387275248765945,17,10,0.20344161987304688,0,17,False,150,2147.56496724752,2.884403970212155,744.5437622070312,17.35849952697754,14,678.2770882233401,25.6985946779436,26.39354705810547,18.272871017456055,14,2235.7469056249447,11.049000708791874,202.3483428955078,16.388362884521484,1.3568967580795288,0,1.8845081329345703,0.9143714904785156,0.9701366424560547,,,0,,,,b'NOT_AVAILABLE',156.28088937173726,-51.97998897730716,32.50149822492743,-7.100170345796074,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2520068594889956608',,0.44749391732768135
1635721458409799680,b'Gaia DR2 2520126972085426304',2520126972085426304,422504214,2015.5,32.976829456627684,0.3980792794136648,5.9284499833048026,0.34856064751995725,0.47484679354212767,0.46080093537014066,1.0304814577102661,7.189473478568563,1.094363565600495,-4.4942266569123985,0.7409077736700623,0.026928305625915527,-0.08013961464166641,0.26225945353507996,-0.13944458961486816,0.0007058816845528781,-0.14270196855068207,0.23410171270370483,-0.2671207785606384,0.3737163841724396,-0.2811366319656372,119,0,119,0,0.4501315951347351,120.24070739746094,0.0,0.0,31,False,0.13329210877418518,1.3974868977298072,0.10089205276584888,-0.044789448380470276,14,10,1.0031237602233887,0,14,False,119,271.3224178072952,1.3194678366270587,205.63018798828125,19.604652404785156,11,86.40977023982383,7.524919802464795,11.483148574829102,20.509981155395508,12,330.64916716387256,8.872678414979768,37.2659912109375,18.4635009765625,1.537134051322937,0,2.046480178833008,0.9053287506103516,1.1411514282226562,,,0,,,,b'NOT_AVAILABLE',156.3843029398529,-51.63968933688121,32.80305745849751,-6.926073836345936,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2520126972085426304',,0.4476590207673483
1635721458409799680,b'Gaia DR2 2519875076548498304',2519875076548498304,745530092,2015.5,33.63170395373127,0.5584078270055465,5.509716318832618,0.4158172065813743,2.7690987725029146,0.5476353923389748,5.056464195251465,24.231252193597644,1.4705529787838232,-18.772165271749365,0.9220227523864244,-0.21444448828697205,0.03399639576673508,0.4123013913631439,-0.2255685180425644,-0.11135793477296829,-0.20916327834129333,0.3391130864620209,-0.2559479773044586,0.2543174624443054,-0.3778183162212372,106,0,104,2,2.168219804763794,131.9419708251953,1.2377286718016514,1.3304833291254046,31,False,0.10688983649015427,1.2186881305385662,0.13294514248163317,-0.15418650209903717,12,9,1.3730040788650513,0,12,False,103,244.50399215375603,1.6912526142368811,144.56976318359375,19.7176513671875,11,58.82193617843611,11.074233613210337,5.311603546142578,20.927539825439453,12,364.687645456792,7.055425230063099,51.688968658447266,18.35711669921875,1.7321172952651978,0,2.570423126220703,1.2098884582519531,1.36053466796875,,,0,,,,b'NOT_AVAILABLE',157.63154370036622,-51.67549478836117,33.280470154334886,-7.538960193811173,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2519875076548498304',,0.44859971890666367
1635721458409799680,b'Gaia DR2 2519844431956542848',2519844431956542848,1342812766,2015.5,33.57013970805968,1.0526053164597962,5.302783960341718,0.7659195899898295,-0.10480562692068847,0.9469976402667524,-0.11067147552967072,4.898324754609198,2.365479198656263,0.3531105973722478,1.9628002918971224,-0.21457195281982422,0.12935498356819153,-0.5014281272888184,0.19103240966796875,0.041250426322221756,0.25030389428138733,-0.2913602292537689,0.13215108215808868,-0.21389517188072205,-0.1032920777797699,114,0,114,0,-0.9321632981300354,95.19750213623047,0.0,0.0,31,False,0.02911757118999958,1.2450397823145627,0.24632005986678898,0.13027846813201904,13,9,2.195601224899292,0,13,False,115,116.949349908476,1.2238942078045083,95.55511474609375,20.51837158203125,7,39.039795748269675,8.976988672580244,4.348874568939209,21.37261962890625,10,129.19158603690735,11.039153387810146,11.703033447265625,19.483835220336914,1.43849778175354,0,1.888784408569336,0.854248046875,1.034536361694336,,,0,,,,b'NOT_AVAILABLE',157.7166976316161,-51.884784104825854,33.15240124733148,-7.7135017146158935,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2519844431956542848',,0.4486060887488233
1635721458409799680,b'Gaia DR2 2518333904843265664',2518333904843265664,768079180,2015.5,33.243090380640055,0.7239392500565611,5.085232613806215,0.492868202846505,-0.7000431497724139,1.0550493350861005,-0.6635169982910156,7.614538560464576,0.8817498325079316,-18.082681722680547,0.8976219658841846,-0.1577947437763214,0.7958530783653259,0.21619407832622528,0.4418754279613495,-0.4367373287677765,-0.07815122604370117,-0.17242375016212463,0.3529105484485626,0.49921923875808716,0.44301262497901917,116,0,116,0,2.938474178314209,159.93899536132812,1.5452551584245007,2.274675145665505,31,False,0.10443330556154251,1.3635983520721118,0.12836918159217073,0.09280349314212799,14,9,1.1806206703186035,0,14,False,116,270.859876477174,1.8388223377491903,147.3007354736328,19.606504440307617,9,44.23743666593406,7.090788647018471,6.2387189865112305,21.236913681030273,12,370.04818815345425,19.498938103457807,18.977863311767578,18.34127426147461,1.5295201539993286,0,2.895639419555664,1.6304092407226562,1.2652301788330078,,,0,,,,b'NOT_AVAILABLE',157.4401759167534,-52.23764386512885,32.769110873712016,-7.809319456356274,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2518333904843265664',,0.4487591069894739
1635721458409799680,b'Gaia DR2 2518335416671671424',2518335416671671424,857872949,2015.5,33.20241867130541,0.03679770922628569,5.0814295064496875,0.026238030672941736,3.3635208476630307,0.04797194625290188,70.11432647705078,17.599098617038287,0.05296949633303233,-8.713558960254685,0.05307275853545871,-0.15336309373378754,0.7142875790596008,0.02627001889050007,0.2086663842201233,-0.40891310572624207,-0.20186848938465118,-0.38514453172683716,0.26294830441474915,0.3860662579536438,0.36599910259246826,137,0,135,2,0.6103968620300293,139.3932647705078,0.0,8.813197964429411e-16,31,False,62.759944915771484,1.4972237829853923,0.009031408425732175,-5.429902012110688e-05,16,9,0.0656629204750061,0,16,False,136,49773.8344069617,16.94950703111162,2936.5947265625,13.945862770080566,15,20259.902173221493,34.11983635697719,593.78662109375,14.584794998168945,16,42337.419891738486,29.733196788566858,1423.9107666015625,13.195109367370605,1.2576351165771484,0,1.3896856307983398,0.6389322280883789,0.7507534027099609,,,0,,,,b'NOT_AVAILABLE',157.38623707242695,-52.26141717346743,32.7293064918348,-7.7992949579958255,100001,4706.080078125,4487.30322265625,4888.66650390625,0.30250000953674316,0.01600000075995922,0.6133999824523926,0.18050000071525574,0.007400000002235174,0.3140999972820282,200111,0.6848589181900024,0.6346567869186401,0.7532669305801392,0.20726892352104187,0.2007322758436203,0.21380557119846344,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2518335416671671424',,0.44883253815967966
