solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,dist
1635721458409799680,b'Gaia DR2 1454585164949632',1454585164949632,190168364,2015.5,43.54421652338729,0.7782253299541358,2.4096082988103626,0.6897085341174994,-1.0958782141666183,0.9542226363501495,-1.148451328277588,15.524446916368877,1.3295985263723622,-19.46511128620676,1.2985519937375216,0.08462680876255035,0.38484975695610046,0.042089760303497314,0.34756675362586975,-0.3634468913078308,0.32773786783218384,0.3595261573791504,0.13709792494773865,-0.06607604771852493,0.3286629319190979,103,0,103,0,0.22015519440174103,100.43540954589844,0.0,0.0,31,False,0.0559578612446785,1.4288953307893708,0.19751822547759762,-0.012232252396643162,12,9,1.3838047981262207,0,13,False,103,166.23115747168575,1.473411026039586,112.82062530517578,20.136585235595703,9,23.753565870829625,6.9205770497569805,3.432310104370117,21.912065505981445,9,197.27528579982285,4.559431256705325,43.267520904541016,19.02423858642578,1.3296475410461426,0,2.887826919555664,1.7754802703857422,1.1123466491699219,,,0,,,,b'NOT_AVAILABLE',172.84061885254073,-48.204773251076645,41.83165741047262,-13.604478726048722,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454585164949632',0.01086837548638922
1635721458409799680,b'Gaia DR2 1454585164915200',1454585164915200,173136838,2015.5,43.5407662118258,2.776693521611537,2.4128581119078194,3.117984584697126,,,,,,,,0.2010977566242218,,,,,,,,,,79,0,77,2,31.60306167602539,1501.6903076171875,15.038173335458952,137.83533212051827,3,False,0.004144610371440649,,,-0.0033774366602301598,11,8,7.884901523590088,0,11,True,88,264.956123118906,3.774092253779637,70.20393371582031,19.630430221557617,9,384.3416291354622,6.147563062650689,62.51934814453125,18.88959503173828,10,923.9630399014009,12.245060706183882,75.45597839355469,17.3477840423584,4.937816143035889,0,1.5418109893798828,-0.7408351898193359,2.2826461791992188,,,0,,,,b'NOT_AVAILABLE',172.83351049720216,-48.20474380369144,41.82926222337467,-13.600352558607572,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454585164915200',0.013249266408535151
1635721458409799680,b'Gaia DR2 1454383301364608',1454383301364608,1539948420,2015.5,43.5304806523579,0.8143183534908234,2.3847499819146694,0.7208409879042407,1.7402944385065942,1.1297350227166603,1.5404448509216309,9.547543730915873,1.6460781209480548,-9.979380531022489,2.043176343496507,0.12099620699882507,0.5317908525466919,-0.07266879826784134,-0.07542440295219421,-0.34288063645362854,0.1653907746076584,0.1847088783979416,-0.15127673745155334,-0.3211023211479187,0.6791800260543823,113,0,112,1,3.9149091243743896,174.17137145996094,1.7639619775604725,1.5568471909958719,31,False,0.045850057154893875,0.768082663721664,0.20082244940991634,0.105784572660923,13,9,2.1377878189086914,0,13,False,114,172.41972205968833,1.8608264422758005,92.65760803222656,20.096899032592773,10,69.24812622867758,7.316608443699593,9.46451187133789,20.750368118286133,10,279.385340889308,6.309279818865093,44.281654357910156,18.646411895751953,2.0220046043395996,0,2.1039562225341797,0.6534690856933594,1.4504871368408203,,,0,,,,b'NOT_AVAILABLE',172.85097140145132,-48.23231776399105,41.81058405913174,-13.62414593021285,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454383301364608',0.0176060093680693
1635721458409799680,b'Gaia DR2 1454550805163136',1454550805163136,348181395,2015.5,43.55794828949824,0.02600657398567168,2.400335011266506,0.022897779781937307,1.6156373709325265,0.031551666328468196,51.206085205078125,-3.7779301235828795,0.051954259756095356,-9.096844125556329,0.053000930838529005,0.09449059516191483,0.34203431010246277,-0.18629537522792816,0.05226829648017883,-0.23486171662807465,0.0187347661703825,-0.0954754427075386,0.18290044367313385,0.011318066157400608,0.381208598613739,112,0,112,0,-2.5984878540039062,72.79423522949219,0.0,0.0,31,False,89.09342956542969,1.569107026793004,0.007199122571022448,0.02078430727124214,13,9,0.06489704549312592,0,13,False,111,69352.12792649478,24.459420991924667,2835.395263671875,13.585716247558594,12,36262.600390764535,137.17337691766673,264.35595703125,13.952740669250488,11,47987.20540426785,56.253381256009945,853.0545654296875,13.05910587310791,1.214812159538269,0,0.8936347961425781,0.36702442169189453,0.5266103744506836,,,0,,,,b'NOT_AVAILABLE',172.86516511364397,-48.202207842793406,41.84230806103259,-13.617404239050535,100001,5601.0,5452.02978515625,6051.0,0.2581999897956848,0.1606999933719635,0.36959999799728394,0.13249999284744263,0.07169999927282333,0.1851000040769577,200111,1.0948458909988403,0.9380582571029663,1.155493974685669,1.0628279447555542,1.0130656957626343,1.1125901937484741,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454550805163136',0.01805929938982278
1635721458409799680,b'Gaia DR2 1454207207788928',1454207207788928,1062571780,2015.5,43.55230603342246,0.5133572585012608,2.381876507776899,0.4980706784379383,-0.7978202147916711,0.7014158853089033,-1.1374424695968628,-0.03520529062220061,0.8729946631781136,-1.3061086085986444,0.9125036860749604,0.12578779458999634,0.456909716129303,0.20889438688755035,0.2937740385532379,-0.4174403250217438,0.24901388585567474,0.3548063635826111,0.1382073611021042,-0.014532667584717274,0.4406794309616089,122,0,121,1,0.20942959189414978,118.54161071777344,0.0,0.0,31,False,0.10409953445196152,1.618135963220178,0.13165224030137593,0.07879426330327988,14,10,0.9787236452102661,0,14,False,118,246.583459858313,1.402530788327067,175.81321716308594,19.70845603942871,11,130.0514088290718,7.485037204415237,17.37485122680664,20.06610107421875,13,180.21216214669633,12.256868578874766,14.702953338623047,19.122459411621094,1.2582497596740723,0,0.9436416625976562,0.35764503479003906,0.5859966278076172,,,0,,,,b'NOT_AVAILABLE',172.87786057073777,-48.2195549485978,41.83113478441844,-13.633359862858276,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454207207788928',0.02166668769478716
1635721458409799680,b'Gaia DR2 1455237999979008',1455237999979008,1210547441,2015.5,43.519147654320996,0.6527265740098867,2.413958243991846,0.5899420514512893,0.1989896707025883,0.8455340987802035,0.23534198105335236,-2.227935342923229,1.0728079666113046,-3.8814304980478282,1.000952652117555,0.09143117070198059,0.43530675768852234,0.26176804304122925,0.357026606798172,-0.3862561881542206,0.23002362251281738,0.3601554334163666,0.2185993492603302,0.08278238028287888,0.31067198514938354,112,0,112,0,1.541159749031067,130.40362548828125,1.1899576907339386,0.8043393880283743,31,False,0.0716581642627716,1.3517367908054538,0.1499787054673933,-0.07462369650602341,13,9,1.1175765991210938,0,14,False,113,203.77570991540026,1.4052956268191337,145.00558471679688,19.915485382080078,8,73.74824138449276,7.909229927575441,9.324326515197754,20.682008743286133,10,248.14626006843366,10.820341088419973,22.933311462402344,18.775150299072266,1.5796509981155396,0,1.9068584442138672,0.7665233612060547,1.1403350830078125,,,0,,,,b'NOT_AVAILABLE',172.8086583321731,-48.21865341000233,41.80837660492146,-13.592893230815047,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1455237999979008',0.025187579097669045
1635721458409799680,b'Gaia DR2 1455203640239232',1455203640239232,1283520936,2015.5,43.51296777641132,0.3362785489923295,2.3957319014611578,0.31421546597694006,3.5441392725098693,0.4442127825428381,7.9784722328186035,70.21906086495778,0.5869997218776128,-22.327650196485116,0.5526167605857044,0.04004324600100517,0.4055383503437042,0.08671755343675613,0.32307350635528564,-0.4098428785800934,0.18332374095916748,0.23571163415908813,0.20972371101379395,0.10424524545669556,0.2581857740879059,131,0,130,1,4.441634178161621,208.26315307617188,1.2259534421377223,3.927448122023161,31,False,0.20965248346328735,1.2302889329154332,0.07647587637432221,0.020067427307367325,15,10,0.5833280086517334,0,15,False,130,539.509164007751,2.0555508660938524,262.4645080566406,18.858367919921875,12,92.78274866530569,13.267106229573523,6.993443012237549,20.432720184326172,14,756.4446332903933,9.023247180565535,83.8328628540039,17.564977645874023,1.5740740299224854,1,2.8677425384521484,1.5743522644042969,1.2933902740478516,,,0,,,,b'NOT_AVAILABLE',172.82051021519467,-48.236202920816275,41.79674492177807,-13.608465920293904,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1455203640239232',0.02717743069546427
1635721458409799680,b'Gaia DR2 1455409798636928',1455409798636928,472734532,2015.5,43.51777042064727,0.15207916858535306,2.420328929245472,0.14393272176244945,1.1397064952798952,0.20542002214460456,5.548176288604736,-2.0459287344485797,0.2755889859977,-17.421368404075164,0.26440887458608225,0.044048555195331573,0.35865554213523865,0.04551858454942703,0.2720995247364044,-0.42182692885398865,0.14405612647533417,0.18318699300289154,0.21858341991901398,0.07108275592327118,0.2969246208667755,123,0,121,2,1.8013535737991333,144.88294982910156,0.19214659354699995,0.28713003371502144,31,False,1.058525800704956,1.3978857282006076,0.038282201861626106,-0.010434894822537899,14,9,0.2774905562400818,0,14,False,121,1320.6860683411376,2.5133725086068144,525.4637451171875,17.88636589050293,14,385.8391704306331,10.438969610238317,36.961421966552734,18.885372161865234,13,1427.7270127157533,9.821921917985971,145.36126708984375,16.875307083129883,1.3732000589370728,0,2.0100650787353516,0.9990062713623047,1.0110588073730469,,,0,,,,b'NOT_AVAILABLE',172.80063419617298,-48.214926083711546,41.808969733306384,-13.58640118562026,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1455409798636928',0.030271672379705482
1635721458409799680,b'Gaia DR2 1454344646745216',1454344646745216,1310680371,2015.5,43.570933790510395,0.15280962996460434,2.404477698809593,0.14023542582591753,1.2475491627223982,0.19907479881704365,6.266735553741455,30.989932870461253,0.2892632456046307,-7.7726160745610695,0.2867949539316195,0.05589385703206062,0.35086098313331604,-0.033907871693372726,0.18491457402706146,-0.3642159104347229,0.0984334722161293,0.08599071204662323,0.2013217955827713,0.0490773469209671,0.33761513233184814,113,0,113,0,2.8388710021972656,154.47825622558594,0.46787855054524957,2.1209213123752395,31,False,1.0798959732055664,1.3897127042654673,0.0422002416676644,0.02544240839779377,13,9,0.29601770639419556,0,13,False,112,1623.091163782761,3.0316313097457868,535.3854370117188,17.662508010864258,10,549.1826825817536,17.966509767200428,30.567020416259766,18.50209617614746,10,1627.235906708444,11.893536053024413,136.81683349609375,16.733293533325195,1.3409096002578735,0,1.7688026428222656,0.8395881652832031,0.9292144775390625,,,0,,,,b'NOT_AVAILABLE',172.87516739451323,-48.19033200525761,41.85632096144769,-13.61729558812992,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1454344646745216',0.03139517713440364
1635721458409799680,b'Gaia DR2 1455409798637312',1455409798637312,185678814,2015.5,43.520266797585556,0.8198344172887873,2.424464022916168,0.7751965129604722,-0.19246832118945822,1.107354689873294,-0.17380909621715546,4.866510788386902,1.4113290276577648,3.3461460901170037,1.446486096790202,0.12208691239356995,0.4375668466091156,0.19383637607097626,0.2647957503795624,-0.3932666778564453,0.22174270451068878,0.31415677070617676,0.14896629750728607,-0.017847316339612007,0.42722445726394653,112,0,112,0,1.07217276096344,122.73143005371094,1.6181425211488416,0.8950385709583427,31,False,0.042128775268793106,0.9641211726592579,0.21600531697337078,0.02060846798121929,13,9,1.5459810495376587,0,13,False,112,151.1016829598464,1.5086264638181237,100.158447265625,20.240192413330078,10,82.42974384779157,6.905470183561489,11.93687629699707,20.56117820739746,11,116.05974853449118,7.258334107383823,15.989860534667969,19.600215911865234,1.313615322113037,0,0.9609622955322266,0.3209857940673828,0.6399765014648438,,,0,,,,b'NOT_AVAILABLE',172.79914859642165,-48.21019958939378,41.812682484700424,-13.583192487763638,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1455409798637312',0.0316320266592778
