runid,dim,c0,c1,c2,c3,c4,c5,c6
12BQ01,x,2.060550e-06,-1.548361e-10,-3.152518e-07,-3.306258e-10,1.196117e-06,-6.901698e-10,-4.565205e-10
12BQ01,y,-1.246713e-06,-4.827930e-10,6.740414e-08,-6.951433e-10,-2.313713e-06,-3.259409e-10,-1.233740e-10
