runid,dim,c0,c1,c2,c3,c4,c5,c6
12BQ01,x,2.265547e-06,-6.064662e-11,-7.349183e-08,-2.602633e-10,1.293824e-06,-7.211081e-10,-5.008996e-10
12BQ01,y,-1.256024e-06,-4.647795e-10,7.965654e-08,-6.754282e-10,-2.251713e-06,-2.981251e-10,-1.336093e-10
