runid,dim,c0,c1,c2,c3,c4,c5,c6
18BQ07,x,9.315113e-06,3.057169e-09,7.554886e-06,2.724381e-09,-3.036773e-06,-1.149537e-09,2.072015e-09
18BQ07,y,-2.085413e-06,-7.406678e-10,9.660306e-06,2.353251e-10,7.464259e-06,-3.947595e-09,-4.668192e-09
