FILENAME,FILTER,OFFSET_X,OFFSET_Y,OFFSET_R,REF_SRCS,INT_SRCS,INT_REF,QSOGRADE
aligned_p1/11AQ15_NW/interp_wircam_J_1319390p.fits,J       ,-38.424606,275.889374,278.552338,3070,2789,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_NW/interp_wircam_J_1319391p.fits,J       ,38.987328,-275.560455,278.304840,3070,2920,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_NW/interp_wircam_J_1319392p.fits,J       ,78.978317,19.875769,81.440903,3070,3061,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_NW/interp_wircam_J_1319393p.fits,J       ,-79.037285,-20.090794,81.550797,3070,2887,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_NW/interp_wircam_J_1319394p.fits,J       ,176.737534,-177.307465,250.347946,3070,2670,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_NW/interp_wircam_J_1319395p.fits,J       ,-176.789734,176.457733,249.783783,3070,2398,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319375p.fits,J       ,0.000000,0.000000,0.000000,2955,2955,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319376p.fits,J       ,-296.042999,98.203934,311.906189,2955,3021,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319377p.fits,J       ,99.040451,295.603363,311.753693,2955,2931,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319378p.fits,J       ,295.610016,-98.435349,311.568298,2955,2632,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319379p.fits,J       ,-99.245399,-296.042053,312.234772,2955,2616,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319380p.fits,J       ,-197.510132,-197.267990,279.150330,2955,2827,wircam_J_1319375p.fits,1
aligned_p1/11AQ15_SE/interp_wircam_J_1319381p.fits,J       ,197.841736,197.457611,279.518982,2955,2752,wircam_J_1319375p.fits,1
