filename,jdtdb,obs_x,obs_y,obs_z,obs_vx,obs_vy,obs_vz,lighttime,range,range_rate
dummy_20030901.fits,2452883.5,0.9425254961856598,-0.35259781624903,-0.1479441621858543,0.00650076001695273,0.01417743417019632,0.006660405922363733,0.005874491485006617,1.017136670319423,0.0001404251388262403
dummy_20030902.fits,2452884.5,0.9488865649517995,-0.3383634404355114,-0.1412691492642922,0.006221443764056056,0.01429011035655589,0.006689677937948522,0.005875245211988878,1.017267174100904,0.0001210580561899224
dummy_20030903.fits,2452885.5,0.9549684246530676,-0.3240198587034793,-0.1345647978639502,0.005942260888405457,0.01439598474496851,0.00671898238771,0.005875894516337824,1.017379597663896,0.0001041381898217711
dummy_20030904.fits,2452886.5,0.9607710014454202,-0.3095735120454789,-0.1278313414708273,0.005662831760690054,0.01449573170860439,0.00674781969367477,0.00587645162431639,1.017476057920204,8.90508655043321e-05
dummy_20030905.fits,2452887.5,0.9662939389415288,-0.2950302801184126,-0.1210694310152329,0.005382949674773397,0.01458981551334918,0.006775845647657179,0.005876925922073373,1.017558180031116,7.54025773447112e-05
dummy_20030906.fits,2452888.5,0.9715366954718261,-0.2803956743041968,-0.1142800056634119,0.005102455039824733,0.01467852615517093,0.006802817112182704,0.005877324793154801,1.017627242417994,6.289247018827398e-05
dummy_20030907.fits,2452889.5,0.9764986179137223,-0.2656749412866836,-0.107464203025271,0.004821270773056493,0.01476209636906306,0.006828570997918927,0.005877654176129658,1.017684273312184,5.131082560164376e-05
dummy_20030908.fits,2452890.5,0.9811789926352226,-0.2508731450210916,-0.1006233176498541,0.004539354030927244,0.01484067502021344,0.006852964388685352,0.005877918979784159,1.017730122643674,4.05058131619643e-05
dummy_20030909.fits,2452891.5,0.9855770748094448,-0.2359952161197809,-0.09375876038653108,0.004256684175658526,0.0149143769591355,0.006875899436038687,0.005878123315350156,1.017765502250191,3.035366863622597e-05
dummy_20030910.fits,2452892.5,0.9896921108150004,-0.2210459861457484,-0.08687203094592946,0.003973263542589819,0.01498329046391059,0.006897297293602978,0.005878270669659784,1.017791015858004,2.07598040504766e-05
dummy_20030911.fits,2452893.5,0.9935233574283809,-0.2060302099606595,-0.0799647002353532,0.003689108328935518,0.01504747868680045,0.006917092333008901,0.005878364045241108,1.017807183338733,1.16494410196275e-05
dummy_20030912.fits,2452894.5,0.9970700914746151,-0.1909525873969143,-0.07303839874689497,0.00340424459551775,0.01510699057562671,0.006935230481475168,0.005878406045212736,1.017814455408393,2.960660201387271e-06
dummy_20030913.fits,2452895.5,1.000331623106178,-0.1758177750197404,-0.06609480642531307,0.003118710148328699,0.01516186418413874,0.006951667141742387,0.005878398963510244,1.017813229249616,-5.354553508897423e-06
dummy_20030914.fits,2452896.5,1.003307302330679,-0.1606303943717425,-0.05913564444223245,0.002832547642332884,0.01521213145107575,0.006966364145736935,0.005878344832848537,1.017803856816079,-1.333790745187091e-05
dummy_20030915.fits,2452897.5,1.005996525477818,-0.1453950396994555,-0.05216266851872765,0.002545806598199145,0.01525781580368099,0.00697929019727944,0.005878245471339281,1.017786652904057,-2.10226211671907e-05
dummy_20030916.fits,2452898.5,1.008398740586473,-0.1301162839045058,-0.04517766373594099,0.002258541015575438,0.01529893660891175,0.006990414965396938,0.005878102520596335,1.017761901750179,-2.843639578633942e-05
dummy_20030917.fits,2452899.5,1.010513451365636,-0.1147986823476697,-0.03818244211798726,0.001970807645441269,0.01533550964677766,0.006999723276782556,0.005877917473691852,1.017729861871874,-3.560394071413523e-05
dummy_20030918.fits,2452900.5,1.012340220156101,-0.09944677624247181,-0.03117883031336777,0.001682667235341403,0.01536754769726785,0.00700719234168396,0.005877691694371201,1.017690769394335,-4.254476906673386e-05
dummy_20030919.fits,2452901.5,1.013878670792231,-0.08406509514928077,-0.02416867611346953,0.001394181875693232,0.01539506119236373,0.007012805506745907,0.005877426439198578,1.017644841884906,-4.927676127262534e-05
dummy_20030920.fits,2452902.5,1.01512849080346,-0.06865815869076416,-0.01715384242603494,0.001105417121418793,0.01541806000913283,0.00701654929126643,0.005877122871581196,1.017592280781303,-5.581408057644279e-05
dummy_20030921.fits,2452903.5,1.016089433908184,-0.05323047744508715,-0.01013620471244387,0.0008164391461354466,0.01543655178906499,0.007018411680799704,0.005876782077906012,1.017533274185595,-6.216984857219673e-05
dummy_20030922.fits,2452904.5,1.016761320617627,-0.0377865551414918,-0.003117649419190396,0.000527315844496006,0.01545054346378447,0.007018382992147157,0.005876405073070193,1.017467997821781,-6.835528580354854e-05
dummy_20030923.fits,2452905.5,1.017144039876201,-0.02233088739759372,0.003899928163749521,0.0002381160492249794,0.01546004351128168,0.007016454852671792,0.005875992810531979,1.017396616776037,-7.438053106021024e-05
dummy_20030924.fits,2452906.5,1.017237551168758,-0.006867964256423387,0.01091462443012823,-5.108850040348337e-05,0.01546505547184249,0.007012619327220432,0.005875546196003322,1.017319287867525,-8.025256573146247e-05
dummy_20030925.fits,2452907.5,1.017041884734696,0.00859773009404595,0.01792452930239303,-0.0003402274971006819,0.0154655870382361,0.007006871214388546,0.005875066088931659,1.017236159904958,-8.597984109893065e-05
dummy_20030926.fits,2452908.5,1.01655714204266,0.02406171846440538,0.0249277276883269,-0.0006292289906744069,0.01546164469341088,0.006999205651510124,0.005874553305746599,1.017147374248739,-9.156902203497492e-05
dummy_20030927.fits,2452909.5,1.015783498941731,0.0395195315838267,0.03192229772227029,-0.0009180164240722866,0.01545323745214353,0.00698961430661545,0.005874008638455885,1.017053068030759,-9.702215549008215e-05
dummy_20030928.fits,2452910.5,1.014721201826784,0.05496670569567589,0.03890631725228423,-0.001206524436189871,0.01544036808158678,0.006978103953398338,0.005873432833319756,1.016953370461972,-0.0001023522164766148
dummy_20030929.fits,2452911.5,1.013370569140245,0.07039878369038663,0.04587786387110101,-0.001494675124658237,0.01542304645849806,0.006964668317848137,0.005872826599925273,1.016848404403569,-0.0001075597550321582
dummy_20030930.fits,2452912.5,1.011731995221155,0.08581131734154426,0.05283501166958224,-0.001782394559668164,0.0154012809215872,0.006949306245469523,0.005872190633430161,1.01673829021838,-0.0001126491684466105
dummy_20031001.fits,2452913.5,1.009805944224,0.101199866057689,0.05977583658642675,-0.00206961390840926,0.01537507876711536,0.006932021027424509,0.005871525580484175,1.016623139870338,-0.0001176297826233754
dummy_20031002.fits,2452914.5,1.007593133647793,0.1165598383677487,0.06669853008939901,-0.002356242518534034,0.01534445439376872,0.006912803829775761,0.00587083302806342,1.016503228135839,-0.0001224913027485747
dummy_20031003.fits,2452915.5,1.005093845335892,0.1318871401093898,0.07360092477441171,-0.002642216162460331,0.01530941644097263,0.006891662852535496,0.005870111796184232,1.016378350707044,-0.0001272432579091281
dummy_20031004.fits,2452916.5,1.002308942570072,0.1471772007210587,0.08048121752040031,-0.002927461187619149,0.01526997181126251,0.006868602551321979,0.005869363424915785,1.016248774238665,-0.0001318922379145597
dummy_20031005.fits,2452917.5,0.999239192007238,0.1624256197620794,0.08733749024964652,-0.003211899107745478,0.01522613527821177,0.006843623418102418,0.005868588503882072,1.016114600820931,-0.0001364374809935537
dummy_20031006.fits,2452918.5,0.9958854388512411,0.1776280129421567,0.09416782490116885,-0.003495454127313721,0.01517792099142488,0.006816726717920793,0.005867787628492768,1.015975933545832,-0.0001408808895625443
dummy_20031007.fits,2452919.5,0.9922486034272642,0.1927800067291626,0.1009703083869282,-0.003778050676769377,0.01512534023457527,0.006787922188562574,0.005866961377715421,1.015832872658492,-0.0001452243993914438
dummy_20031008.fits,2452920.5,0.9883296822104212,0.2078772431542847,0.1077430339901524,-0.004059613043143434,0.01506840874731288,0.006757211889376207,0.005866110324937337,1.015685517437844,-0.0001494697786192358
dummy_20031009.fits,2452921.5,0.9841297473780917,0.2229153791217511,0.1144840989044181,-0.004340065257007737,0.01500714195371054,0.006724601804254798,0.005865235033206409,1.01553396537261,-0.0001536183073204853
dummy_20031010.fits,2452922.5,0.9796499469876355,0.2378900879663169,0.1211916058092203,-0.004619331611061849,0.01494155772910627,0.006690096522957604,0.00586433605834986,1.015378312701289,-0.0001576712272909651
dummy_20031011.fits,2452923.5,0.9748915047055835,0.252797059740959,0.127863663999309,-0.004897336381040706,0.01487167041186776,0.006653706068451148,0.005863413948023272,1.015218654247507,-0.0001616300510557604
