filename,jdtdb,x,y,z,vx,vy,vz,lighttime,range,range_rate
SPITZER_I1_3954944_0000_0000_7_cbcd.fits,2453024.562292146,-0.4222787563761606,0.8994475930473809,0.007332290802456426,-0.01560501489488942,-0.00746695308326618,-0.0003195014525001102,0.005738956435841091,0.9936695040171735,-0.0001296299948191116
SPITZER_I2_3954944_0000_0000_7_cbcd.fits,2453024.562292146,-0.4222787563834273,0.8994475930439038,0.007332290802307611,-0.0156050148948304,-0.007466953083391435,-0.0003195014525011449,0.005738956435840743,0.9936695040171132,-0.0001296299948172916
SPITZER_I2_3954944_0001_0000_7_cbcd.fits,2453024.562329091,-0.4222793329049236,0.8994473171798623,0.0073322789984415,-0.01560501021229708,-0.00746696302081775,-0.0003195015346050408,0.005738956408181034,0.9936694992279826,-0.0001296298503925759
SPITZER_I1_3954944_0001_0000_7_cbcd.fits,2453024.562329091,-0.4222793329049236,0.8994473171798623,0.0073322789984415,-0.01560501021229708,-0.00746696302081775,-0.0003195015346050408,0.005738956408181034,0.9936694992279826,-0.0001296298503925759
SPITZER_I2_3954944_0002_0000_7_cbcd.fits,2453024.562823917,-0.422287054656053,0.8994436222985968,0.007332120900464891,-0.01560494749513681,-0.007467096119645999,-0.0003195026342688565,0.005738956037717589,0.9936694350842254,-0.0001296279160021407
SPITZER_I1_3954944_0002_0000_7_cbcd.fits,2453024.562823917,-0.422287054656053,0.8994436222985968,0.007332120900464891,-0.01560494749513681,-0.007467096119645999,-0.0003195026342688565,0.005738956037717589,0.9936694350842254,-0.0001296279160021407
SPITZER_I2_3954944_0003_0000_7_cbcd.fits,2453024.562860862,-0.4222876311750592,0.8994433464292708,0.007332109096555101,-0.01560494281251129,-0.007467106057030121,-0.000319502716370857,0.005738956010058322,0.9936694302951722,-0.0001296277715765147
SPITZER_I1_3954944_0003_0000_7_cbcd.fits,2453024.562860862,-0.4222876311750592,0.8994433464292708,0.007332109096555101,-0.01560494281251129,-0.007467106057030121,-0.000319502716370857,0.005738956010058322,0.9936694302951722,-0.0001296277715765147
SPITZER_I1_3954944_0004_0000_7_cbcd.fits,2453024.563342355,-0.4222951448358639,0.8994397510365133,0.00733195525787856,-0.01560488178404366,-0.007467235569042201,-0.0003195037863808015,0.005738955649582515,0.993669367880721,-0.0001296258892957932
SPITZER_I2_3954944_0004_0000_7_cbcd.fits,2453024.563342355,-0.4222951448358639,0.8994397510365133,0.00733195525787856,-0.01560488178404366,-0.007467235569042201,-0.0003195037863808015,0.005738955649582515,0.993669367880721,-0.0001296258892957932
