runid,dim,c0,c1,c2,c3,c4,c5,c6
11AQ15,x,2.304826e-06,-3.638045e-11,1.103185e-07,-2.309326e-10,1.447105e-06,-7.370962e-10,-5.528950e-10
11AQ15,y,-1.525786e-06,-5.768711e-10,-2.099644e-07,-7.237757e-10,-2.386419e-06,-2.326699e-10,-6.229790e-11
