runid,dim,c0,c1,c2,c3,c4,c5,c6
11AQ15,x,2.300961e-06,-4.947152e-11,5.922843e-08,-2.722420e-10,1.467920e-06,-7.473512e-10,-5.668877e-10
11AQ15,y,-1.409882e-06,-5.325815e-10,-4.240539e-08,-6.991186e-10,-2.250127e-06,-2.771163e-10,-1.260731e-10
