gid,xmeas,ymeas,xcalc,ycalc,rdist,xnudge,ynudge,xerror,yerror,rerror,scaled_xerror,scaled_yerror,scaled_rerror,mag,flux,fwhm,flags,wflag,dumbsnr,realerr,qq,rr_hi_mask,inner_mask,masked
2048076256290824960,1876.3740807614372,1849.9689088316297,1876.4159766821622,1849.9713184178943,1980.5679386414731,10.588621700416025,-1.462302846835117,0.041895920724982716,0.0024095862645481247,0.04196515553837892,0.04195097854044827,0.0024127528390882258,0.0420203043392558,13.740281,31907.121,2.2441697,0,3,346.77835,0.017084712,SW,False,False,False
2048064402167732352,1221.655242103137,1853.4329262169285,1221.6482958592787,1853.2785313347777,1340.2223095112665,4.646144834219595,-0.9487934528571458,-0.006946243858237722,-0.15439488215088204,0.15455105932384566,-0.006955372312891722,-0.15459778125855628,0.15475416367283742,15.994033,4003.0132,2.4125874,0,2,119.47022,0.05331229,SW,False,False,False
2048157310896071936,406.1863562466621,1850.815013163869,406.2534595788096,1850.8056248444498,569.8438642875304,1.087289207838599,-0.5877723739492141,0.06710333214749653,-0.00938831941925855,0.06775690169137952,0.0671915164579155,-0.009400657144487465,0.06784594489475795,15.261423,7860.147,2.6817553,0,2,170.0028,0.0416454,SW,False,False,False
2048157242193574400,286.7357798578992,1839.3125071113818,286.72842299460103,1839.2348357762726,475.1805142322038,0.8012596549639349,-0.5925943695567922,-0.007356863298184635,-0.07767133510924396,0.07801897035491208,-0.007366531371230114,-0.07777340743421993,0.07812149952716277,12.864269,71497.74,2.7291355,0,3,520.2837,0.013848057,SW,False,False,False
2048157272240608512,477.9220416895966,1841.2458621441942,477.91418009213123,1841.3246740824377,637.7187456448559,1.281990312594815,-0.6276835129819105,-0.007861597465364412,0.07881193824346155,0.07920307017028205,-0.007871928838324414,0.0789155094999754,0.07930715543553653,15.184491,8437.301,2.7158527,0,3,176.3292,0.040661737,SW,False,False,False
2048154665213161472,57.291311156052885,1850.0704320566992,57.248697952302535,1849.9405479876418,311.9932712797102,0.31884394917551756,-0.5663876160291751,-0.04261320375034927,-0.12988406905742522,0.13669585410239327,-0.042669204188288894,-0.13005475710968264,0.13687549390932052,13.873212,28230.285,2.8685246,0,2,326.0128,0.023228858,SW,False,False,False
2048064367821296000,1364.8897461492663,1837.7036164000428,1364.8787420484814,1837.711144595456,1482.6799612729042,5.6867664968966105,-1.1080448098151883,-0.011004100784930415,0.007528195413215144,0.013332815166515273,-0.011018561900473336,0.007538088643550628,0.01335033657825111,15.87016,4486.7905,2.2894394,0,2,126.90629,0.047626644,SW,False,False,False
2048157242176527104,300.5190216814458,1836.7373470838997,300.5058031216913,1836.6787434405023,487.78588858084294,0.8330898764921243,-0.6001018693316257,-0.01321855975447761,-0.05860364339741864,0.06007592980083208,-0.013235931016669455,-0.058680657782780025,0.0601548790016053,13.528485,38779.816,2.817776,0,2,382.58337,0.01944394,SW,False,False,False
2048157310913069440,407.10049547232506,1842.7755385384507,407.1220924495565,1842.727452487263,574.4759365869354,1.0913237834350835,-0.6064533197269164,0.021596977231411074,-0.04808605118773812,0.05271335451632593,0.021625359049173863,-0.04814924380618278,0.05278262813760714,13.9758415,25684.047,2.829386,0,2,310.8207,0.024031794,SW,False,False,False
2048064539620017024,1638.7722131019382,1841.9534978993504,1638.7716197651703,1841.9758830350304,1749.2314529794587,8.069721184607749,-1.304284701036036,-0.000593336767906294,0.022385135679996893,0.02239299774331296,-0.000594116505544494,0.022414553261663875,0.022422425656965107,14.317822,18744.385,2.157321,0,2,265.03305,0.021489123,SW,False,False,False
2048157620150678912,181.96426937078576,1845.404824190341,181.97353553721396,1845.3318999353303,391.7361740605721,0.5735778728686703,-0.5714243440339277,0.00926616642820477,-0.0729242550107756,0.07351060337904879,0.009278343625231328,-0.07302008892744023,0.07360720784949766,15.33753,7328.043,2.9515934,0,3,163.95496,0.047526512,SW,False,False,False
2048076320703113600,1972.8926105343983,2010.372163180564,1972.913327726999,2010.42797049144,2060.408334371112,11.63443362127389,-0.629526848402284,0.020717192600614,0.05580731087593449,0.059528631904774455,0.020744418243288293,0.055880650441473716,0.05960686187021297,14.024505,24558.29,2.1779711,0,2,303.862,0.01892255,SW,False,False,False
2048158199953576320,897.0126413705883,2011.3420821097982,896.9703725771941,2011.4244519139697,996.4948420936194,2.757512504539486,-0.3080933644435119,-0.0422687933942143,0.08236980417154882,0.09258204758084623,-0.042324341222890194,0.08247805102230503,0.09270371492227047,15.413225,6834.552,2.5140488,0,2,158.14037,0.041969605,SW,False,False,False
2048064500953060480,1832.8158605283022,1821.1705065670972,1832.8351899004706,1821.1828476798496,1942.0865894818076,10.119634083837397,-1.5801388012672528,0.019329372168385817,0.012341112752437766,0.02293311344742249,0.019354773997191488,0.012357330911552196,0.022963251157881875,15.919643,4286.8936,2.2294972,0,2,123.88717,0.04750995,SW,False,False,False
2048064470900536704,1609.6576517701203,1842.6962513732935,1609.6488066390425,1842.7203147801142,1720.6491411039349,7.788704781205863,-1.2769584856879401,-0.00884513107780549,0.024063406820687305,0.02563754847097243,-0.00885675496829944,0.02409502991404054,0.025671240233518234,14.044929,24100.637,2.2792096,0,2,300.9871,0.019991267,SW,False,False,False
2048158169889884544,1046.4344586697396,1839.2286951463664,1046.5380538536006,1839.2837676453412,1173.5117611087455,3.5846820187942368,-0.8881171968510516,0.10359518386098898,0.05507249897482325,0.11732409071680044,0.10373132419201499,0.05514487288219449,0.11747827298620925,15.983182,4043.2168,2.5104213,0,2,120.10551,0.05518075,SW,False,False,False
2048157306600344448,363.7636549763813,1832.5261457884703,363.7587729254317,1832.5030528095706,542.451811954662,0.9843141627755334,-0.6204487815280996,-0.004882050949618133,-0.023092978899740046,0.023603391619394582,-0.0048884667308117715,-0.023123326698494918,0.023634410180573186,14.836187,11628.537,2.7884486,0,2,207.87152,0.035413723,SW,False,False,False
2048157517071530496,535.7435949824867,2009.327338107303,536.104964487135,2009.2396627065878,640.8321830185317,1.4141420293838094,-0.2530716018629184,0.36136950464833717,-0.08767540071517033,0.37185332428304346,0.3618444008949768,-0.08779061995250685,0.37234199791413564,10.920234,428456.16,9.5080185,0,2,1275.5916,0.019678062,SW,False,False,True
