FILENAME DATE_OBS CRPIX1 CRPIX2 CRVAL1 CRVAL2 CRDER1 CRDER2 A_ORDER A_0_2 A_0_3 A_0_4 A_0_5 A_1_1 A_1_2 A_1_3 A_1_4 A_2_0 A_2_1 A_2_2 A_2_3 A_3_0 A_3_1 A_3_2 A_4_0 A_4_1 A_5_0 A_DMAX B_ORDER B_0_2 B_0_3 B_0_4 B_0_5 B_1_1 B_1_2 B_1_3 B_1_4 B_2_0 B_2_1 B_2_2 B_2_3 B_3_0 B_3_1 B_3_2 B_4_0 B_4_1 B_5_0 B_DMAX
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0011_0000_6_cbcd.fits 2006-09-23T05:52:56.490 128. 128. 63.8350137670766 -9.58272778567064 4.18690671738484E-05 4.14938986199801E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0012_0000_6_cbcd.fits 2006-09-23T05:53:27.685 128. 128. 63.8349993170775 -9.58273144900394 4.18143523875047E-05 4.13667652933286E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0013_0000_6_cbcd.fits 2006-09-23T05:54:06.888 128. 128. 63.829347617247 -9.58137146571144 4.18500931241005E-05 4.1189709228735E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0014_0000_6_cbcd.fits 2006-09-23T05:54:38.486 128. 128. 63.8293375339143 -9.58136809071148 4.18382150021712E-05 4.12235182485693E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0015_0000_6_cbcd.fits 2006-09-23T05:55:18.486 128. 128. 63.8376144169994 -9.57534828422548 4.14793996666757E-05 4.13617327329354E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0016_0000_6_cbcd.fits 2006-09-23T05:55:50.076 128. 128. 63.8376103578594 -9.57535507868792 4.16460450762116E-05 4.16883135376487E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0017_0000_6_cbcd.fits 2006-09-23T05:56:29.286 128. 128. 63.8366209062764 -9.58343723005788 4.13807853767549E-05 4.12476682390086E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0018_0000_6_cbcd.fits 2006-09-23T05:57:00.486 128. 128. 63.8366278336955 -9.58344200231587 4.13838132452048E-05 4.10408241750966E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0019_0000_6_cbcd.fits 2006-09-23T05:57:40.091 128. 128. 63.8402607610059 -9.59017419759773 4.14117522878323E-05 4.07659492802368E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576704_0020_0000_6_cbcd.fits 2006-09-23T05:58:11.685 128. 128. 63.8402509228724 -9.59016982282808 4.01040344600308E-05 3.92938015440317E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
