runid,dim,c0,c1,c2,c3,c4,c5,c6
14AQ08,x,2.299006e-06,-3.184711e-11,-3.260826e-08,-2.588644e-10,1.479387e-06,-6.996470e-10,-5.617309e-10
14AQ08,y,-1.505037e-06,-5.621430e-10,-4.383634e-08,-6.884395e-10,-2.220905e-06,-2.852561e-10,-1.365200e-10
