gid,xmeas,ymeas,xcalc,ycalc,rdist,xnudge,ynudge,xerror,yerror,rerror,scaled_xerror,scaled_yerror,scaled_rerror,qq
2047410841291554432,153.0590422791419,43.54074350944239,153.14358482780176,43.48159485593307,1912.8006159342895,-9.930651372713717,0.6139982321397001,0.08454254865986854,-0.0591486535093253,0.10317948316342963,0.08514845902833323,-0.059572567656818204,0.10391896310166844,NE
2048156104009592448,1346.481910608448,31.482289472991067,1346.656357304073,31.379894071964344,731.7042634944868,-1.6331263867853338,0.23982977939178032,0.1744466956249653,-0.10239540102672251,0.202278193995034,0.17569694255150187,-0.10312926150465535,0.20372790726957693,NE
2048156104009591808,1265.0400129439784,28.658390146185393,1265.2973705589543,28.567296542081394,811.6578003089332,-1.8995353680729312,0.24420642111173624,0.25735761497594467,-0.09109360410399958,0.27300363861084853,0.2592020785009873,-0.09174646541587568,0.27496023606248676,NE
2048155524188621952,665.1264078808144,22.327323895845474,665.0744245035419,22.28751142661092,1405.2969683930487,-5.216345981303058,0.3612868884837088,-0.0519833772725633,-0.039812469234554726,0.06547750926244841,-0.05235593840038046,-0.04009780233943247,0.06594678186414125,NE
2048155558548249088,413.77290504542145,20.777590484537853,413.8764167506283,20.74766486685253,1653.8016816928534,-7.31062124402817,0.4228521266036973,0.10351170520686992,-0.02992561768532198,0.10775071094281465,0.10425356615661054,-0.030140092435914093,0.10852295254192182,NE
2048155696005144064,912.4927443872997,17.847751556045115,912.6258104640115,17.896854944330045,1159.762568859536,-3.5582595388663507,0.28558548514918425,0.13306607671177062,0.049103388284930105,0.1418369610239991,0.13401975171741723,0.04945530873871588,0.1428534963269708,NE
2048156108322072192,1365.5341716367386,11.316400292816073,1365.7693588423176,11.236647024263206,710.1380546163972,-1.574938691447168,0.1926359198518266,0.23518720557899542,-0.07975326855286724,0.2483417111822386,0.23687277537372523,-0.08032485449510735,0.25012155837294686,NE
2048155524206400896,577.4725563088609,10.851236270164836,577.5771664364067,10.801974456098279,1491.2170604193466,-5.895884743880152,0.3391406151833168,0.10461012754581134,-0.04926181406655772,0.11562873825428963,0.10535986080948935,-0.04961486994653116,0.11645744110878518,NE
2048156069649847936,1586.1296898820272,12.705319817436168,1586.186765107001,12.61104810125957,492.7889791431397,-1.099344857864057,0.19855199309801105,0.057075224973914374,-0.09427171617659802,0.11020316591053086,0.05748427900815318,-0.09494735478922332,0.11099298407808418,NE
2048156073962357376,1520.8390804529222,6.592554193611049,1520.9584490120697,6.3671943481383835,556.0475992227604,-1.2077815747611897,0.17864628575503924,0.11936855914746047,-0.2253598454726653,0.25502139687564324,0.12022406502944093,-0.2269749832840039,0.2568491168935122,NE
2048156177024097792,1404.5670971839845,10.316021130151881,1404.6742364789943,10.263417855150095,671.5200049246846,-1.4679982548633774,0.18787993232402384,0.10713929500980157,-0.05260327500178619,0.11935632817790114,0.10790715463487166,-0.052980278892064116,0.12021174640140204,NE
2048156245761092096,1809.0901974460496,7.1371981821542105,1808.89847381667,7.009542025194975,274.8907297513027,-0.9222533208940829,0.28782404496852726,-0.19172362937956677,-0.12765615695923582,0.2303346358498316,-0.1930976988482804,-0.12857105945893624,0.23198542762616473,NE
2048154832699264128,1924.9233146376032,5.944618952239601,1924.6018735930313,5.752701121456127,167.34354531549556,-0.8852516464920818,0.48527202365908045,-0.32144104457188405,-0.19191783078347413,0.3743752113963986,-0.3237447894298703,-0.19329329207968837,0.3770583316225684,NE
2048156073962352512,1482.3080029461028,12.813241276341213,1482.4441411294213,12.684293900751754,594.9947005646902,-1.2840764771401136,0.19128188028207724,0.1361381833185078,-0.12894737558945835,0.1875127479097687,0.13711387589135055,-0.1298715321602556,0.1888566382937094,NE
2048155382455081984,1070.7781783309515,20.539605139371076,1071.0892634000384,20.486703245007575,1002.9764501018332,-2.710911371506596,0.25902908923805246,0.3110850690868574,-0.0529018943635009,0.3155511537548577,0.3133145934130356,-0.05328103843727643,0.3178126861887837,NE
2048156245761073152,1666.6571570806343,21.669973951520845,1666.6473616603346,21.544372155956992,415.9269049454396,-0.99930746589645,0.23830003690472443,-0.009795420299724356,-0.12560179556385265,0.12598317866966244,-0.009865623372817772,-0.1265019746031208,0.1268860910542322,NE
2048156069661202304,1525.4780899060436,21.338412724519326,1525.5955006460954,21.221543091583342,553.8509348228343,-1.1983757915140856,0.21132362856868767,0.11741074005180963,-0.11686963293598396,0.16566168229891076,0.11825221438507956,-0.11770722919345507,0.16684896766649585,NE
2048156241448541568,1718.3349670784914,22.421666666908237,1718.2621600852856,22.30984205435783,366.15467954638325,-0.9548706654426794,0.2629716352616353,-0.07280699320585882,-0.11182461255040721,0.13343763424059443,-0.07332879569205603,-0.11262605150946241,0.13439397217233878,NE
2048155382455083136,1119.824236366418,19.77607307854583,1120.1192116461732,19.71874815032335,954.3325814704061,-2.4820792609764775,0.24737507565912384,0.2949752797551355,-0.057324928222481475,0.3004938652657207,0.29708934637930917,-0.05773577186195154,0.30264748319551654,NE
2047410776887212288,67.83592274351145,26.91711738322978,68.07643613714936,26.79047272349274,1995.856767908734,-10.873993970857578,0.5532251604335626,0.24051339363791158,-0.12664465973703898,0.27181898822403006,0.24223713583955891,-0.12755231290886462,0.27376709537151067,NE
2048155382455091584,1040.1822754221816,24.706215308449575,1040.4416487703922,24.766853023816054,1033.740103872235,-2.862856623711024,0.27729819405108413,0.25937334821060176,0.06063771536647877,0.2663671644306861,0.2612322583508257,0.06107230151325294,0.26827619874897257,NE
