runid,dim,c0,c1,c2,c3,c4,c5,c6
21AQ13,x,8.188609e-06,2.157143e-09,5.390915e-06,2.964186e-10,2.716149e-06,-1.858591e-09,-1.619119e-09
21AQ13,y,2.819699e-07,6.842177e-10,5.752068e-06,4.040605e-10,4.123702e-06,-9.806620e-10,-2.551617e-09
