runid,dim,c0,c1,c2,c3,c4,c5,c6
17BQ03,x,2.261692e-06,-7.310402e-11,-5.678333e-08,-2.940166e-10,1.358482e-06,-7.293807e-10,-5.251621e-10
17BQ03,y,-1.334741e-06,-5.042115e-10,1.813547e-08,-6.945149e-10,-2.251139e-06,-2.898369e-10,-1.313051e-10
